
---------- Begin Simulation Statistics ----------
system.cpu.iq.issued_per_cycle::2               74362     10.10%     42.71% # Number of insts issued each cycle
system.cpu.iq.issued_per_cycle::3               71977      9.78%     52.49% # Number of insts issued each cycle
system.cpu.iq.issued_per_cycle::4               56181      7.63%     60.13% # Number of insts issued each cycle
system.cpu.iq.issued_per_cycle::5               96714     13.14%     73.27% # Number of insts issued each cycle
system.cpu.iq.issued_per_cycle::6              111187     15.11%     88.38% # Number of insts issued each cycle
system.cpu.iq.issued_per_cycle::7               73230      9.95%     98.33% # Number of insts issued each cycle
system.cpu.iq.issued_per_cycle::8               12310      1.67%    100.00% # Number of insts issued each cycle
system.cpu.iq.issued_per_cycle::overflows            0      0.00%    100.00% # Number of insts issued each cycle
system.cpu.iq.issued_per_cycle::min_value            0                       # Number of insts issued each cycle
system.cpu.iq.issued_per_cycle::max_value            8                       # Number of insts issued each cycle
system.cpu.iq.issued_per_cycle::total          735919                       # Number of insts issued each cycle
system.cpu.iq.rate                           3.076285                       # Inst issue rate
system.cpu.iq.vec_alu_accesses                      0                       # Number of vector alu accesses
system.cpu.iq.vec_inst_queue_reads                  0                       # Number of vector instruction queue reads
system.cpu.iq.vec_inst_queue_wakeup_accesses            0                       # Number of vector instruction queue wakeup accesses
system.cpu.iq.vec_inst_queue_writes                 0                       # Number of vector instruction queue writes
system.cpu.memDep0.conflictingLoads              7003                       # Number of conflicting loads.
system.cpu.memDep0.conflictingStores             6717                       # Number of conflicting stores.
system.cpu.memDep0.insertedLoads               212538                       # Number of loads inserted to the mem dependence unit.
system.cpu.memDep0.insertedStores              160537                       # Number of stores inserted to the mem dependence unit.
system.cpu.misc_regfile_reads                  918214                       # number of misc regfile reads
system.cpu.numCycles                           771047                       # number of cpu cycles simulated
system.cpu.numWorkItemsCompleted                    0                       # number of work items this cpu completed
system.cpu.numWorkItemsStarted                      0                       # number of work items this cpu started
system.cpu.timesIdled                             310                       # Number of times that the entire CPU went into an idle state and unscheduled itself
system.cpu.workload.numSyscalls                    10                       # Number of system calls
system.membus.snoop_filter.hit_multi_requests            0                       # Number of requests hitting in the snoop filter with multiple (>1) holders of the requested data.
system.membus.snoop_filter.hit_multi_snoops            0                       # Number of snoops hitting in the snoop filter with multiple (>1) holders of the requested data.
system.membus.snoop_filter.hit_single_requests            0                       # Number of requests hitting in the snoop filter with a single holder of the requested data.
system.membus.snoop_filter.hit_single_snoops            0                       # Number of snoops hitting in the snoop filter with a single holder of the requested data.
system.membus.snoop_filter.tot_requests          1217                       # Total number of requests made to the snoop filter.
system.membus.snoop_filter.tot_snoops               0                       # Total number of snoops made to the snoop filter.
system.tol2bus.snoop_filter.hit_multi_requests            0                       # Number of requests hitting in the snoop filter with multiple (>1) holders of the requested data.
system.tol2bus.snoop_filter.hit_multi_snoops            0                       # Number of snoops hitting in the snoop filter with multiple (>1) holders of the requested data.
system.tol2bus.snoop_filter.hit_single_requests           30                       # Number of requests hitting in the snoop filter with a single holder of the requested data.
system.tol2bus.snoop_filter.hit_single_snoops            0                       # Number of snoops hitting in the snoop filter with a single holder of the requested data.
system.tol2bus.snoop_filter.tot_requests         1259                       # Total number of requests made to the snoop filter.
system.tol2bus.snoop_filter.tot_snoops              0                       # Total number of snoops made to the snoop filter.
system.clk_domain.clock                          1000                       # Clock period in ticks
system.cpu.branchPred.lookups                  340797                       # Number of BP lookups
system.cpu.branchPred.condPredicted            288180                       # Number of conditional branches predicted
system.cpu.branchPred.condIncorrect             17584                       # Number of conditional branches incorrect
system.cpu.branchPred.BTBLookups               128976                       # Number of BTB lookups
system.cpu.branchPred.BTBHits                  127924                       # Number of BTB hits
system.cpu.branchPred.BTBHitPct             99.184344                       # BTB Hit Percentage
system.cpu.branchPred.RASUsed                    4791                       # Number of times the RAS was used to get a target.
system.cpu.branchPred.RASIncorrect                  0                       # Number of incorrect RAS predictions.
system.cpu.branchPred.indirectLookups             268                       # Number of indirect predictor lookups.
system.cpu.branchPred.indirectHits                 16                       # Number of indirect target hits.
system.cpu.branchPred.indirectMisses              252                       # Number of indirect misses.
